,text
289,erp test service definition v7 course reference document erp test pdf
290,fsi erp test faq v2 course reference document erp test pdf
291,fsivs erp test capabilities v4 course reference document erp test pdf
292,fsivs ssdu tdm capabilities overview course reference document tdm pdf
293,fsivs ssdu tdm service definition and guide (2) course reference document tdm pdf
294,infrastructure test capabilities course reference document infra test pdf
295,ss service offer and differentiation infrastructure test course reference document infra test pdf
296,infosys soa approach and benefit (2) course reference document soa test pdf
297,infosys soa capabilities overview 3 1 course reference document soa test pdf
298,dw bi test infosys capabilities course reference document dwt test pdf
299,dw bi test service definition course reference document dwt test pdf
300,infosys dw bi test faqs course reference document dwt test pdf
301,fsiivs security test capabilities v1 0 course reference document security test pdf
302,01 fsiivs ss du offer course reference document performance test pdf
303,02 pt service definition and guide v1 course reference document performance test pdf
304,03 pt capabilities v1 course reference document performance test pdf
305,barclays infrastructure test case study course reference document infra test case study ppt
306,fsiivs ssdu infra test coe projectcharter draft v1.1 course reference document infra test collaterals ppt
307,coe infra test action tracker course reference document infra test infra tcoe tracker xls
308,abnamro draft tech replatforming track test strategy v17 course reference document infra test rfps and support abn ppt
309,infosys infrastructure test course reference document infra test rfps and support barclays zip
310,infosys jll application migration response ims v1 3 connecitivity v1 course reference document infra test rfps and support jll doc
311,infra test kit course reference document infra test collaterals zip
312,test plan req analysis estimation templates estimation xls
313,dw execution checklist templates checklists xls
314,dw testconditions checklist templates checklists xls
315,dw test case review checklist templates checklists xls
316,dwt estimation templates estimation xls
317,dwt replanning across phase templates estimation xls
318,st scope effort estimation templates estimation xls
319,dwt replanning estimate templates estimation xls
320,status report wsr templates status report ppt
321,test case generation tool and accelerators tool and macros xlsm
322,test condition generator tool and accelerators tool and macros xlsm
323,infosys capabilities in dwt 30to60mins collateral dw bi test pdf
324,infosys capabilities in dwt 60to90mins collateral dw bi test pdf
325,infosys capabilitues in dwt 15to30mins collateral dw bi test pdf
326,test strategy templates test strategy doc
327,sit test plan templates test plan doc
328,sit traceability matrix templates traceability xls
329,sit test closure report templates result report doc
330,automatic database query executor tool and accelerators tool and macros zip
331,query generator for ods temp table tool and accelerators tool and macros zip
332,ab initio design graph for test data setup train material train materials dw bi tool etl abinitio ppt
333,ab initio for test data setup train material train materials dw bi tool etl abinitio doc
334,ab initio train train material train materials dw bi tool etl abinitio ppt
335,45ca921 train material train materials dw bi tool etl informatica tmp
336,etl test use informatica train material train materials dw bi tool etl informatica ppt
337,f17125a0 train material train materials dw bi tool etl informatica tmp
338,informatica train material train materials dw bi tool etl informatica ppt
339,informatica train train material train materials dw bi tool etl informatica doc
340,thumb train material train materials dw bi tool etl informatica db
341,1. informatica pc 8 architecture train material train materials dw bi tool etl informatica informatica train material ppt
342,2.1 informatica (during) train material train materials dw bi tool etl informatica informatica train material ppt
343,2.2 informatica server architecture train material train materials dw bi tool etl informatica informatica train material ppt
